Years Experience,Employed?,Previous employers,Level of Education,Top-tier school,Interned,Hired
15,Y,0,PhD,N,N,Y
23,N,2,BS,Y,Y,N
12,N,10,PhD,Y,Y,Y
8,Y,10,BS,N,N,N
0,N,1,PhD,Y,Y,Y
13,N,10,MS,N,N,N
20,N,10,PhD,Y,Y,Y
8,Y,5,BS,N,Y,N
30,N,5,MS,N,N,Y
16,Y,7,MS,N,N,N
25,Y,6,PhD,Y,Y,Y
13,N,5,BS,N,N,N
28,Y,2,MS,N,N,Y
12,N,5,MS,N,Y,Y
3,N,7,BS,Y,Y,N
26,Y,6,BS,N,Y,N
2,Y,2,PhD,Y,N,N
4,Y,3,MS,N,N,N
28,N,5,PhD,Y,Y,Y
25,N,5,MS,Y,N,N
8,Y,0,PhD,Y,Y,Y
2,N,8,PhD,N,Y,Y
11,N,5,PhD,N,Y,N
26,Y,8,MS,Y,Y,N
19,N,1,PhD,N,N,Y
22,N,8,BS,N,Y,N
20,Y,9,BS,Y,N,N
14,Y,7,BS,Y,N,N
24,N,10,MS,Y,Y,N
10,N,10,PhD,Y,Y,Y
16,N,4,BS,Y,Y,N
28,N,10,MS,N,Y,N
5,Y,3,MS,N,Y,Y
1,Y,9,MS,N,Y,N
25,Y,9,PhD,N,N,N
0,N,9,MS,N,Y,N
6,N,9,PhD,Y,N,N
29,N,10,MS,N,N,N
4,N,0,BS,Y,N,N
19,N,1,MS,Y,N,N
19,Y,0,BS,N,N,N
18,N,4,PhD,Y,N,N
22,N,9,BS,N,Y,N
29,Y,7,MS,N,N,Y
1,Y,1,PhD,N,Y,Y
20,Y,3,BS,N,Y,N
22,Y,7,MS,Y,Y,N
16,Y,10,BS,N,N,N
23,Y,8,MS,N,N,Y
2,N,1,PhD,Y,N,N
7,Y,9,BS,Y,N,N
1,N,8,PhD,N,Y,Y
8,Y,2,BS,Y,N,N
26,N,5,PhD,Y,Y,N
17,Y,2,PhD,N,Y,Y
16,N,2,BS,Y,N,N
7,Y,10,BS,Y,Y,N
17,N,6,PhD,Y,N,Y
5,Y,4,MS,N,Y,N
7,N,0,MS,N,Y,Y
13,Y,3,PhD,Y,N,Y
12,Y,8,MS,N,Y,Y
22,Y,7,MS,N,Y,Y
27,N,8,PhD,Y,N,Y
19,Y,2,PhD,Y,N,N
14,Y,10,BS,N,N,N
20,Y,1,MS,Y,Y,Y
23,N,0,BS,N,Y,N
23,N,3,PhD,N,Y,Y
24,N,10,MS,Y,N,N
11,Y,2,MS,Y,Y,Y
0,Y,10,MS,Y,Y,N
4,Y,0,MS,N,N,Y
10,N,8,PhD,N,Y,Y
2,N,9,MS,Y,N,N
14,N,8,PhD,Y,N,Y
22,N,10,MS,N,Y,N
9,Y,3,MS,N,N,Y
4,N,4,BS,Y,Y,N
28,N,2,PhD,N,Y,Y
29,Y,5,MS,N,Y,Y
15,Y,3,PhD,N,N,Y
13,N,0,BS,Y,N,N
19,Y,6,PhD,Y,N,N
1,Y,2,PhD,N,N,Y
4,Y,6,PhD,Y,N,Y
12,Y,10,PhD,N,Y,Y
0,N,3,MS,Y,Y,N
24,N,7,BS,N,Y,N
1,N,2,PhD,Y,Y,Y
14,Y,3,MS,N,N,N
14,Y,0,BS,N,Y,N
6,N,0,MS,Y,N,N
23,N,9,BS,Y,N,N
0,Y,2,MS,N,Y,N
18,Y,3,BS,Y,N,N
10,N,2,MS,N,N,Y
11,N,8,PhD,Y,Y,Y
10,Y,2,PhD,Y,N,Y
28,N,5,PhD,Y,N,N
5,N,4,PhD,N,Y,Y
10,Y,3,BS,Y,Y,N
5,N,2,MS,Y,Y,N
0,N,8,PhD,N,N,N
6,N,4,MS,N,N,N
9,Y,2,PhD,N,N,Y
26,N,2,MS,Y,Y,N
30,Y,6,BS,N,N,N
1,Y,9,PhD,Y,Y,N
20,N,10,MS,N,Y,N
18,Y,10,PhD,N,N,N
16,Y,7,BS,N,Y,N
14,N,8,PhD,N,Y,Y
5,N,2,BS,N,N,N
30,N,5,MS,N,N,Y
24,Y,0,BS,N,Y,N
8,Y,4,PhD,Y,N,N
9,Y,7,MS,Y,N,Y
27,Y,8,MS,Y,N,N
15,N,3,PhD,N,Y,Y
16,N,5,BS,N,Y,N
26,Y,0,MS,N,Y,N
30,N,7,PhD,N,N,Y
20,N,6,PhD,N,Y,N
3,Y,3,BS,N,N,N
29,N,6,MS,N,Y,Y
25,N,5,BS,N,Y,N
17,Y,7,MS,Y,Y,Y
5,Y,3,PhD,Y,N,Y
3,N,9,BS,Y,Y,N
19,Y,9,MS,Y,N,Y
4,N,4,PhD,N,Y,N
24,N,8,PhD,N,Y,N
17,N,5,BS,N,Y,N
2,Y,1,PhD,N,Y,Y
7,N,2,BS,N,N,N
17,Y,4,PhD,Y,N,N
5,N,3,BS,Y,N,N
30,Y,5,MS,N,Y,N
25,Y,2,PhD,N,Y,Y
1,N,5,PhD,N,Y,N
10,N,2,MS,Y,Y,N
0,N,7,MS,N,Y,N
14,Y,4,BS,Y,Y,N
29,N,10,MS,Y,Y,N
5,N,9,BS,N,N,N
28,Y,10,PhD,N,N,Y
19,N,9,PhD,Y,N,N
17,Y,10,BS,Y,N,N
9,N,2,MS,Y,Y,Y
28,Y,7,BS,N,Y,N
9,Y,4,PhD,N,N,Y
23,N,5,PhD,N,N,N
3,Y,7,PhD,Y,Y,Y
25,Y,6,MS,N,N,Y
15,N,5,BS,Y,Y,N
10,Y,2,MS,N,N,N
5,N,5,BS,N,Y,N
6,N,1,PhD,Y,N,N
29,Y,6,MS,N,Y,Y
23,Y,6,MS,N,Y,Y
18,Y,2,BS,Y,Y,N
1,Y,3,MS,N,N,N
27,N,6,MS,N,N,N
30,N,7,MS,Y,Y,N
0,Y,5,PhD,N,N,Y
30,Y,3,BS,Y,Y,N
26,Y,0,MS,N,Y,Y
3,Y,10,BS,N,Y,N
0,Y,9,MS,Y,Y,N
17,N,7,BS,Y,Y,N
8,Y,9,BS,N,Y,N
29,Y,8,MS,Y,N,Y
10,Y,0,BS,N,Y,N
20,N,6,PhD,N,Y,N
19,Y,0,BS,Y,Y,N
13,N,5,MS,N,N,N
5,N,7,PhD,Y,Y,Y
27,N,9,MS,N,Y,Y
13,Y,8,PhD,Y,Y,N
21,Y,6,MS,N,N,N
19,Y,8,PhD,Y,N,N
25,Y,8,PhD,Y,N,Y
9,N,5,BS,Y,Y,N
14,Y,8,MS,N,N,Y
8,Y,1,BS,Y,Y,N
9,N,2,MS,Y,N,Y
15,Y,8,MS,N,Y,N
15,N,3,BS,N,N,N
15,Y,10,MS,Y,N,N
15,N,1,MS,Y,N,Y
7,Y,8,BS,Y,Y,N
17,Y,6,BS,Y,N,N
19,Y,3,BS,N,N,N
22,Y,6,MS,Y,N,Y
14,N,6,BS,N,N,N
2,Y,0,MS,Y,N,N
17,Y,9,PhD,N,Y,Y
27,N,3,PhD,N,N,N
16,Y,1,BS,N,N,N
12,N,1,PhD,Y,N,N
16,Y,0,PhD,Y,Y,Y
9,Y,4,PhD,Y,N,Y
25,N,10,MS,Y,Y,N
22,Y,10,BS,Y,N,N
1,Y,0,MS,Y,Y,N
20,N,6,PhD,N,Y,Y
27,Y,4,PhD,N,N,N
17,Y,7,BS,Y,N,N
14,Y,2,PhD,N,N,N
13,Y,5,MS,N,N,Y
5,Y,0,BS,N,Y,N
21,N,6,PhD,Y,Y,Y
22,Y,0,BS,Y,N,N
25,Y,1,PhD,N,N,Y
17,Y,4,MS,N,Y,Y
17,Y,0,BS,Y,Y,N
29,Y,4,MS,N,N,N
10,Y,10,BS,Y,N,N
2,N,4,PhD,N,Y,N
20,N,3,MS,Y,N,Y
27,Y,10,BS,Y,Y,N
4,Y,4,BS,Y,Y,N
14,Y,0,MS,Y,N,N
9,Y,0,PhD,Y,Y,N
19,N,8,PhD,Y,Y,Y
17,N,0,PhD,N,Y,N
21,Y,9,PhD,N,N,N
1,N,1,PhD,N,N,Y
29,N,9,MS,N,N,N
29,N,2,MS,Y,Y,Y
24,Y,10,BS,N,Y,N
29,Y,1,MS,Y,N,N
19,N,10,MS,N,Y,Y
14,Y,5,PhD,Y,Y,Y
2,Y,10,PhD,N,Y,Y
11,Y,2,BS,Y,Y,N
22,N,3,PhD,Y,Y,N
17,N,1,BS,N,Y,N
23,Y,6,BS,Y,N,N
9,Y,4,BS,N,Y,N
21,Y,9,MS,N,N,N
29,Y,9,PhD,Y,N,Y
0,Y,0,PhD,N,N,N
17,Y,0,MS,N,N,Y
29,N,4,PhD,Y,Y,N
1,N,0,MS,Y,N,N
29,Y,8,BS,Y,Y,N
18,N,8,BS,Y,N,N
1,N,10,MS,Y,Y,N
30,N,8,BS,Y,Y,N
30,Y,4,PhD,Y,N,N
29,Y,6,BS,N,Y,N
8,N,4,PhD,N,N,Y
26,Y,4,PhD,N,Y,N
28,Y,8,MS,Y,N,N
15,Y,0,PhD,N,N,Y
22,N,1,MS,N,Y,Y
30,N,3,BS,Y,Y,N
1,Y,4,MS,Y,Y,N
24,N,7,MS,N,Y,N
9,Y,1,PhD,Y,Y,Y
13,Y,4,PhD,N,Y,Y
8,N,9,BS,N,N,N
25,Y,8,BS,N,N,N
28,Y,5,MS,Y,N,Y
21,Y,10,BS,N,Y,N
6,N,2,BS,N,N,N
8,N,0,PhD,Y,Y,Y
30,N,2,PhD,Y,Y,N
30,N,7,MS,N,N,N
8,Y,5,MS,Y,Y,N
29,Y,4,BS,Y,Y,N
19,N,8,BS,Y,N,N
11,N,10,PhD,Y,Y,N
2,Y,0,PhD,Y,Y,Y
3,Y,0,PhD,N,Y,N
28,Y,4,PhD,Y,N,Y
8,Y,3,MS,Y,Y,N
13,Y,10,PhD,N,Y,N
15,Y,1,PhD,N,Y,N
19,Y,6,PhD,N,N,N
13,N,4,MS,Y,Y,Y
2,N,2,MS,Y,N,N
9,Y,9,PhD,Y,Y,Y
19,N,10,BS,Y,N,N
8,N,1,MS,N,Y,Y
7,Y,1,BS,N,Y,N
26,Y,1,PhD,N,N,Y
8,N,0,BS,N,Y,N
27,Y,4,BS,N,N,N
9,Y,8,PhD,Y,N,Y
15,N,2,PhD,Y,Y,N
9,N,2,BS,N,N,N
6,Y,2,PhD,Y,N,Y
6,Y,9,BS,Y,Y,N
28,N,6,BS,N,N,N
21,N,5,MS,Y,N,Y
20,N,9,BS,N,Y,N
27,Y,0,MS,Y,N,Y
20,Y,5,PhD,N,N,N
0,N,1,MS,Y,Y,N
11,Y,5,MS,Y,Y,Y
1,N,7,MS,Y,N,N
13,N,0,BS,N,N,N
2,Y,2,MS,Y,N,N
25,N,9,BS,Y,Y,N
7,Y,9,MS,Y,N,N
3,Y,7,PhD,N,Y,N
6,N,2,MS,Y,N,N
29,N,8,MS,Y,N,N
20,Y,10,BS,Y,Y,N
15,Y,2,PhD,N,Y,N
14,N,8,BS,Y,N,N
15,Y,9,PhD,N,Y,Y
15,Y,5,BS,Y,N,N
4,N,7,BS,N,Y,N
29,Y,1,BS,N,Y,N
26,N,6,BS,Y,Y,N
10,Y,6,MS,N,N,N
2,Y,0,PhD,N,Y,Y
26,Y,7,MS,N,N,Y
24,Y,5,PhD,Y,N,N
29,Y,10,MS,N,Y,Y
30,N,3,BS,N,Y,N
23,N,3,PhD,N,Y,Y
11,Y,8,PhD,N,Y,Y
6,N,4,PhD,N,Y,Y
2,N,2,MS,N,Y,N
18,Y,9,PhD,N,N,N
24,N,2,PhD,Y,Y,N
11,N,1,BS,Y,N,N
24,N,10,MS,N,N,N
15,N,0,MS,Y,N,Y
28,Y,8,PhD,N,Y,N
16,N,8,MS,Y,Y,Y
11,N,1,MS,Y,Y,Y
25,N,10,MS,Y,Y,N
12,Y,10,MS,N,Y,Y
22,Y,3,BS,Y,N,N
11,Y,9,BS,Y,Y,N
30,N,4,MS,Y,N,N
1,N,9,PhD,Y,Y,Y
15,Y,1,MS,N,Y,Y
7,Y,6,MS,Y,N,N
18,Y,8,PhD,N,Y,Y
30,Y,7,PhD,Y,N,Y
15,Y,2,BS,N,N,N
24,Y,10,MS,Y,Y,N
14,Y,9,BS,N,Y,N
15,Y,10,MS,N,N,Y
11,N,0,BS,Y,N,N
4,Y,9,MS,N,N,Y
26,Y,10,BS,N,N,N
16,Y,9,MS,Y,N,N
24,N,1,PhD,Y,Y,Y
5,Y,9,BS,N,N,N
28,Y,10,MS,N,Y,Y
22,Y,6,PhD,Y,Y,Y
24,N,9,PhD,Y,Y,N
23,Y,8,BS,Y,N,N
11,Y,0,BS,N,Y,N
4,N,8,MS,N,Y,N
30,N,6,MS,N,Y,Y
25,Y,3,MS,Y,Y,N
26,Y,0,MS,Y,N,N
28,N,5,BS,N,Y,N
23,N,0,MS,Y,N,Y
14,N,7,MS,Y,N,Y
26,Y,3,PhD,Y,Y,Y
30,Y,1,MS,N,N,Y
10,Y,8,BS,N,N,N
10,N,4,PhD,Y,Y,N
3,Y,4,PhD,Y,N,Y
22,Y,1,BS,N,Y,N
4,Y,0,PhD,Y,N,N
4,N,6,PhD,N,N,Y
16,N,3,PhD,N,Y,Y
19,Y,1,MS,Y,N,Y
18,Y,6,MS,Y,Y,N
27,Y,4,PhD,Y,N,N
4,N,8,PhD,Y,N,N
6,Y,4,MS,Y,Y,Y
21,Y,8,MS,N,N,N
16,Y,1,MS,Y,Y,N
27,N,10,PhD,N,N,Y
12,Y,2,PhD,Y,Y,N
17,N,1,PhD,N,N,Y
17,N,0,PhD,N,Y,Y
19,Y,7,PhD,Y,N,N
22,Y,2,MS,N,N,N
25,N,3,MS,N,Y,N
28,N,10,BS,Y,N,N
26,N,0,MS,Y,Y,N
18,N,7,PhD,Y,N,N
25,Y,4,PhD,N,Y,Y
13,Y,5,PhD,N,Y,Y
24,N,9,PhD,Y,N,N
18,N,6,BS,Y,Y,N
1,Y,1,PhD,Y,N,N
2,Y,4,MS,Y,Y,N
27,N,6,PhD,Y,Y,N
14,N,8,PhD,N,Y,Y
24,Y,3,BS,Y,N,N
27,Y,0,BS,Y,Y,N
19,N,4,BS,N,Y,N
22,Y,1,PhD,Y,Y,Y
11,N,1,PhD,N,N,N
28,N,4,BS,N,N,N
1,N,2,PhD,N,Y,Y
12,Y,0,BS,Y,N,N
6,N,9,PhD,Y,Y,Y
5,Y,8,PhD,N,N,Y
18,N,3,PhD,Y,Y,N
27,N,2,PhD,Y,Y,Y
27,Y,9,MS,Y,N,Y
8,N,3,PhD,N,N,Y
18,N,9,MS,Y,N,Y
28,Y,4,MS,Y,Y,Y
25,N,9,MS,N,Y,Y
22,Y,9,BS,Y,N,N
20,Y,7,MS,Y,Y,Y
12,N,7,BS,Y,N,N
13,Y,6,PhD,Y,N,Y
2,Y,2,MS,Y,Y,N
15,Y,8,BS,N,N,N
24,Y,0,MS,N,N,N
10,Y,6,MS,N,N,Y
7,Y,6,PhD,N,Y,N
6,Y,3,PhD,Y,Y,N
12,Y,1,MS,N,Y,Y
17,N,8,BS,N,N,N
21,N,5,BS,N,N,N
15,N,2,BS,N,N,N
7,Y,10,BS,Y,N,N
27,N,2,PhD,N,Y,Y
4,Y,6,PhD,N,N,N
23,N,9,MS,N,N,N
18,Y,8,MS,N,Y,N
6,N,10,MS,Y,Y,N
15,N,5,BS,N,Y,N
23,Y,3,BS,Y,Y,N
12,Y,7,MS,N,N,N
21,Y,9,PhD,Y,N,N
7,N,10,PhD,N,N,Y
2,N,4,PhD,N,Y,N
7,Y,10,MS,Y,Y,Y
3,Y,3,MS,N,N,N
25,N,9,MS,Y,N,Y
28,Y,2,BS,N,N,N
26,N,6,BS,N,Y,N
1,N,2,MS,Y,Y,N
13,N,6,MS,N,Y,Y
29,N,6,MS,Y,N,N
6,Y,2,PhD,Y,Y,Y
8,Y,2,MS,Y,N,N
25,Y,8,BS,Y,N,N
10,N,1,BS,N,N,N
21,Y,2,MS,N,Y,Y
13,N,10,BS,N,N,N
21,Y,7,PhD,N,Y,Y
1,Y,4,MS,Y,Y,N
13,N,10,PhD,N,Y,Y
19,Y,4,PhD,Y,N,Y
22,N,1,BS,N,N,N
17,Y,7,MS,N,N,Y
11,Y,6,MS,N,Y,Y
13,Y,10,MS,N,Y,N
24,N,6,PhD,N,N,N
0,N,3,MS,N,Y,N
20,N,2,MS,N,Y,Y
27,N,0,BS,Y,N,N
12,Y,2,PhD,Y,Y,N
17,N,9,MS,N,Y,Y
5,N,1,BS,N,N,N
14,N,8,MS,Y,N,N
26,N,7,PhD,Y,Y,Y
28,N,2,BS,N,N,N
6,Y,6,MS,Y,N,N
4,Y,1,BS,N,Y,N
12,N,7,PhD,N,N,Y
3,N,6,PhD,Y,Y,Y
17,N,0,MS,Y,Y,Y
14,Y,8,PhD,N,N,N
6,Y,4,BS,Y,N,N
17,Y,10,MS,N,Y,Y
15,Y,1,PhD,N,N,Y
21,Y,8,BS,Y,N,N
12,N,0,BS,Y,N,N
10,Y,5,BS,Y,Y,N
11,Y,3,PhD,N,N,Y
11,Y,10,BS,Y,Y,N
5,N,10,BS,N,N,N
14,Y,5,MS,N,N,Y
6,N,0,MS,Y,N,Y
19,N,9,MS,N,N,N
19,N,7,PhD,N,Y,N
17,N,2,MS,N,N,N
29,Y,8,BS,N,N,N
3,Y,5,BS,Y,N,N
10,Y,7,PhD,Y,Y,N
21,N,3,PhD,N,Y,Y
20,Y,3,PhD,Y,Y,Y
28,Y,6,MS,N,N,Y
4,Y,6,MS,Y,Y,Y
0,Y,7,MS,N,N,N
13,Y,3,PhD,Y,N,N
3,Y,7,BS,N,N,N
23,N,0,BS,Y,Y,N
16,Y,6,BS,Y,Y,N
4,N,8,MS,Y,N,N
15,Y,8,MS,Y,N,Y
17,Y,5,PhD,N,N,N
24,N,4,MS,Y,Y,N
14,Y,10,MS,N,N,Y
6,Y,10,PhD,Y,Y,N
22,N,2,PhD,N,N,Y
25,N,6,BS,Y,N,N
7,Y,4,BS,Y,N,N
14,N,8,BS,N,Y,N
6,Y,0,PhD,Y,N,Y
26,N,7,PhD,Y,N,Y
21,N,1,MS,N,N,N
8,N,7,MS,N,N,N
12,Y,2,MS,Y,N,Y
0,N,0,PhD,N,N,Y
13,N,1,MS,Y,Y,N
17,N,8,MS,N,N,N
10,N,0,PhD,N,Y,N
20,N,7,MS,N,Y,N
17,N,2,MS,N,N,N
25,N,4,BS,Y,Y,N
7,N,6,PhD,Y,Y,N
13,Y,3,BS,N,N,N
12,Y,3,MS,Y,Y,N
19,N,3,PhD,Y,Y,Y
14,N,9,BS,Y,Y,N
19,N,4,MS,N,Y,Y
1,N,3,MS,N,N,N
19,N,6,PhD,Y,N,Y
9,N,4,PhD,N,N,Y
5,Y,0,PhD,N,N,Y
22,N,10,MS,Y,N,Y
26,N,8,PhD,N,N,Y
25,N,1,BS,Y,Y,N
1,Y,3,MS,Y,N,N
0,Y,1,MS,Y,Y,N
25,Y,7,PhD,Y,N,Y
16,N,7,BS,N,N,N
23,N,7,MS,N,N,N
7,N,5,BS,Y,Y,N
16,N,2,BS,N,Y,N
15,Y,10,BS,Y,Y,N
28,Y,4,PhD,Y,Y,Y
15,N,9,PhD,Y,N,Y
26,Y,10,PhD,Y,N,N
28,Y,5,PhD,N,N,Y
21,Y,6,PhD,N,Y,N
7,N,7,PhD,N,N,Y
11,N,3,BS,Y,Y,N
5,Y,1,MS,N,Y,N
20,Y,6,BS,Y,N,N
1,Y,2,PhD,Y,Y,N
30,N,7,PhD,N,Y,N
2,Y,8,MS,N,N,N
23,Y,10,PhD,N,N,N
4,Y,6,PhD,Y,N,N
30,N,2,MS,N,N,Y
19,N,10,BS,Y,Y,N
13,N,6,MS,Y,Y,Y
27,Y,4,PhD,N,Y,Y
12,Y,10,MS,N,N,Y
5,N,8,MS,N,N,Y
13,N,7,BS,N,N,N
15,N,5,PhD,N,Y,Y
16,N,8,BS,Y,Y,N
8,Y,5,PhD,N,N,N
1,Y,2,PhD,N,N,N
18,N,5,BS,N,Y,N
25,Y,10,BS,N,Y,N
11,N,6,MS,N,Y,N
14,N,9,MS,Y,N,N
0,Y,7,MS,N,N,N
7,N,1,PhD,Y,Y,N
12,N,4,MS,Y,N,Y
24,N,8,BS,Y,Y,N
24,N,5,BS,N,N,N
10,Y,10,PhD,Y,N,Y
19,N,1,BS,Y,N,N
5,N,5,MS,Y,N,N
9,N,3,MS,Y,Y,Y
24,N,5,PhD,Y,Y,N
7,Y,0,MS,N,N,Y
16,N,10,PhD,N,N,N
2,N,2,MS,Y,Y,N
18,Y,8,BS,Y,Y,N
13,N,10,MS,N,Y,Y
9,Y,7,BS,N,N,N
7,N,0,BS,Y,Y,N
8,Y,5,BS,N,N,N
23,Y,3,PhD,N,Y,N
15,Y,1,BS,Y,N,N
19,N,8,BS,N,Y,N
10,N,0,MS,Y,N,N
27,N,2,BS,Y,Y,N
7,Y,10,MS,N,N,N
1,N,2,MS,N,Y,N
6,Y,5,MS,N,Y,N
13,Y,2,MS,N,Y,N
16,N,0,PhD,Y,N,Y
1,N,4,MS,N,N,N
26,Y,8,BS,N,Y,N
30,Y,4,PhD,N,Y,N
5,N,0,MS,Y,N,Y
10,N,2,BS,N,Y,N
7,Y,4,BS,N,N,N
25,N,3,MS,Y,N,Y
4,N,1,PhD,Y,Y,N
19,N,2,BS,N,N,N
8,N,7,BS,N,Y,N
20,N,2,BS,Y,Y,N
8,Y,5,BS,Y,N,N
23,Y,6,BS,Y,Y,N
9,N,2,BS,Y,Y,N
30,Y,5,BS,N,Y,N
2,Y,1,PhD,N,Y,N
21,Y,10,BS,N,N,N
7,Y,1,BS,N,N,N
11,Y,2,BS,Y,Y,N
11,Y,4,BS,N,Y,N
0,Y,9,PhD,N,Y,Y
14,Y,0,MS,Y,Y,N
28,Y,0,BS,Y,N,N
5,Y,4,PhD,Y,Y,N
9,N,10,MS,Y,Y,Y
30,Y,10,PhD,N,Y,N
29,Y,0,BS,Y,N,N
22,N,2,BS,N,N,N
6,N,1,BS,N,N,N
30,Y,10,PhD,Y,N,Y
9,Y,7,PhD,N,N,Y
25,Y,1,BS,N,N,N
19,N,1,MS,Y,Y,Y
28,Y,1,BS,N,Y,N
18,Y,0,PhD,N,N,N
4,N,0,MS,Y,N,Y
21,N,10,PhD,Y,Y,N
21,N,3,BS,N,Y,N
8,Y,2,MS,Y,Y,Y
5,Y,4,BS,N,N,N
26,N,5,BS,Y,Y,N
13,Y,1,BS,Y,Y,N
1,Y,2,PhD,N,Y,N
